,region,category,language,type,count
350,Montréal,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_home,10
351,Montréal,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_work,0
352,Toronto,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_home,1095
353,Toronto,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_work,10
354,Calgary,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_home,75
355,Calgary,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_work,0
356,Edmonton,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_home,15
357,Edmonton,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_work,0
358,Vancouver,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_home,305
359,Vancouver,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,most_at_work,0
360,Montréal,Aboriginal languages,Chilcotin,most_at_home,0
361,Montréal,Aboriginal languages,Chilcotin,most_at_work,0
362,Toronto,Aboriginal languages,Chilcotin,most_at_home,0
363,Toronto,Aboriginal languages,Chilcotin,most_at_work,0
364,Calgary,Aboriginal languages,Chilcotin,most_at_home,0
365,Calgary,Aboriginal languages,Chilcotin,most_at_work,0
366,Edmonton,Aboriginal languages,Chilcotin,most_at_home,0
367,Edmonton,Aboriginal languages,Chilcotin,most_at_work,0
368,Vancouver,Aboriginal languages,Chilcotin,most_at_home,0
369,Vancouver,Aboriginal languages,Chilcotin,most_at_work,0
370,Montréal,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_home,40
371,Montréal,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_work,0
372,Toronto,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_home,85
373,Toronto,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_work,0
374,Calgary,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_home,5
375,Calgary,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_work,0
376,Edmonton,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_home,10
377,Edmonton,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_work,0
378,Vancouver,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_home,105
379,Vancouver,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",most_at_work,0
380,Montréal,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_home,2160
381,Montréal,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_work,210
382,Toronto,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_home,6885
383,Toronto,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_work,915
384,Calgary,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_home,1605
385,Calgary,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_work,125
386,Edmonton,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_home,1440
387,Edmonton,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_work,95
388,Vancouver,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_home,5045
389,Vancouver,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",most_at_work,845
390,Montréal,Aboriginal languages,Comox,most_at_home,5
391,Montréal,Aboriginal languages,Comox,most_at_work,0
392,Toronto,Aboriginal languages,Comox,most_at_home,0
393,Toronto,Aboriginal languages,Comox,most_at_work,0
394,Calgary,Aboriginal languages,Comox,most_at_home,0
395,Calgary,Aboriginal languages,Comox,most_at_work,0
396,Edmonton,Aboriginal languages,Comox,most_at_home,0
397,Edmonton,Aboriginal languages,Comox,most_at_work,0
398,Vancouver,Aboriginal languages,Comox,most_at_home,0
399,Vancouver,Aboriginal languages,Comox,most_at_work,0
400,Montréal,Aboriginal languages,"Cree, n.o.s.",most_at_home,65
401,Montréal,Aboriginal languages,"Cree, n.o.s.",most_at_work,10
402,Toronto,Aboriginal languages,"Cree, n.o.s.",most_at_home,10
403,Toronto,Aboriginal languages,"Cree, n.o.s.",most_at_work,0
404,Calgary,Aboriginal languages,"Cree, n.o.s.",most_at_home,60
405,Calgary,Aboriginal languages,"Cree, n.o.s.",most_at_work,0
406,Edmonton,Aboriginal languages,"Cree, n.o.s.",most_at_home,330
407,Edmonton,Aboriginal languages,"Cree, n.o.s.",most_at_work,10
408,Vancouver,Aboriginal languages,"Cree, n.o.s.",most_at_home,15
409,Vancouver,Aboriginal languages,"Cree, n.o.s.",most_at_work,10
410,Montréal,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_home,420
411,Montréal,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_work,0
412,Toronto,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_home,775
413,Toronto,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_work,10
414,Calgary,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_home,65
415,Calgary,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_work,0
416,Edmonton,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_home,145
417,Edmonton,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_work,0
418,Vancouver,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_home,75
419,Vancouver,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",most_at_work,0
420,Montréal,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_home,18775
421,Montréal,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_work,245
422,Toronto,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_home,1950
423,Toronto,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_work,20
424,Calgary,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_home,220
425,Calgary,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_work,0
426,Edmonton,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_home,380
427,Edmonton,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_work,0
428,Vancouver,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_home,205
429,Vancouver,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",most_at_work,0
430,Montréal,Non-Official & Non-Aboriginal languages,Croatian,most_at_home,780
431,Montréal,Non-Official & Non-Aboriginal languages,Croatian,most_at_work,10
432,Toronto,Non-Official & Non-Aboriginal languages,Croatian,most_at_home,5945
433,Toronto,Non-Official & Non-Aboriginal languages,Croatian,most_at_work,90
434,Calgary,Non-Official & Non-Aboriginal languages,Croatian,most_at_home,745
435,Calgary,Non-Official & Non-Aboriginal languages,Croatian,most_at_work,15
436,Edmonton,Non-Official & Non-Aboriginal languages,Croatian,most_at_home,895
437,Edmonton,Non-Official & Non-Aboriginal languages,Croatian,most_at_work,0
438,Vancouver,Non-Official & Non-Aboriginal languages,Croatian,most_at_home,1795
439,Vancouver,Non-Official & Non-Aboriginal languages,Croatian,most_at_work,30
440,Montréal,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_home,5
441,Montréal,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_work,0
442,Toronto,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_home,30
443,Toronto,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_work,0
444,Calgary,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_home,5
445,Calgary,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_work,0
446,Edmonton,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_home,10
447,Edmonton,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_work,0
448,Vancouver,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_home,5
449,Vancouver,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",most_at_work,0
450,Montréal,Non-Official & Non-Aboriginal languages,Czech,most_at_home,380
451,Montréal,Non-Official & Non-Aboriginal languages,Czech,most_at_work,10
452,Toronto,Non-Official & Non-Aboriginal languages,Czech,most_at_home,1415
453,Toronto,Non-Official & Non-Aboriginal languages,Czech,most_at_work,10
454,Calgary,Non-Official & Non-Aboriginal languages,Czech,most_at_home,425
455,Calgary,Non-Official & Non-Aboriginal languages,Czech,most_at_work,0
456,Edmonton,Non-Official & Non-Aboriginal languages,Czech,most_at_home,255
457,Edmonton,Non-Official & Non-Aboriginal languages,Czech,most_at_work,0
458,Vancouver,Non-Official & Non-Aboriginal languages,Czech,most_at_home,1030
459,Vancouver,Non-Official & Non-Aboriginal languages,Czech,most_at_work,20
460,Montréal,Aboriginal languages,Dakota,most_at_home,0
461,Montréal,Aboriginal languages,Dakota,most_at_work,0
462,Toronto,Aboriginal languages,Dakota,most_at_home,5
463,Toronto,Aboriginal languages,Dakota,most_at_work,0
464,Calgary,Aboriginal languages,Dakota,most_at_home,10
465,Calgary,Aboriginal languages,Dakota,most_at_work,0
466,Edmonton,Aboriginal languages,Dakota,most_at_home,20
467,Edmonton,Aboriginal languages,Dakota,most_at_work,0
468,Vancouver,Aboriginal languages,Dakota,most_at_home,10
469,Vancouver,Aboriginal languages,Dakota,most_at_work,0
470,Montréal,Non-Official & Non-Aboriginal languages,Danish,most_at_home,40
471,Montréal,Non-Official & Non-Aboriginal languages,Danish,most_at_work,10
472,Toronto,Non-Official & Non-Aboriginal languages,Danish,most_at_home,140
473,Toronto,Non-Official & Non-Aboriginal languages,Danish,most_at_work,15
474,Calgary,Non-Official & Non-Aboriginal languages,Danish,most_at_home,70
475,Calgary,Non-Official & Non-Aboriginal languages,Danish,most_at_work,0
476,Edmonton,Non-Official & Non-Aboriginal languages,Danish,most_at_home,45
477,Edmonton,Non-Official & Non-Aboriginal languages,Danish,most_at_work,0
478,Vancouver,Non-Official & Non-Aboriginal languages,Danish,most_at_home,180
479,Vancouver,Non-Official & Non-Aboriginal languages,Danish,most_at_work,10
480,Montréal,Aboriginal languages,Dene,most_at_home,0
481,Montréal,Aboriginal languages,Dene,most_at_work,0
482,Toronto,Aboriginal languages,Dene,most_at_home,0
483,Toronto,Aboriginal languages,Dene,most_at_work,0
484,Calgary,Aboriginal languages,Dene,most_at_home,10
485,Calgary,Aboriginal languages,Dene,most_at_work,0
486,Edmonton,Aboriginal languages,Dene,most_at_home,10
487,Edmonton,Aboriginal languages,Dene,most_at_work,0
488,Vancouver,Aboriginal languages,Dene,most_at_home,10
489,Vancouver,Aboriginal languages,Dene,most_at_work,0
490,Montréal,Non-Official & Non-Aboriginal languages,Dinka,most_at_home,0
491,Montréal,Non-Official & Non-Aboriginal languages,Dinka,most_at_work,0
492,Toronto,Non-Official & Non-Aboriginal languages,Dinka,most_at_home,10
493,Toronto,Non-Official & Non-Aboriginal languages,Dinka,most_at_work,0
494,Calgary,Non-Official & Non-Aboriginal languages,Dinka,most_at_home,445
495,Calgary,Non-Official & Non-Aboriginal languages,Dinka,most_at_work,0
496,Edmonton,Non-Official & Non-Aboriginal languages,Dinka,most_at_home,205
497,Edmonton,Non-Official & Non-Aboriginal languages,Dinka,most_at_work,0
498,Vancouver,Non-Official & Non-Aboriginal languages,Dinka,most_at_home,40
499,Vancouver,Non-Official & Non-Aboriginal languages,Dinka,most_at_work,0
500,Montréal,Aboriginal languages,Dogrib (Tlicho),most_at_home,0
501,Montréal,Aboriginal languages,Dogrib (Tlicho),most_at_work,0
502,Toronto,Aboriginal languages,Dogrib (Tlicho),most_at_home,0
503,Toronto,Aboriginal languages,Dogrib (Tlicho),most_at_work,0
504,Calgary,Aboriginal languages,Dogrib (Tlicho),most_at_home,0
505,Calgary,Aboriginal languages,Dogrib (Tlicho),most_at_work,0
506,Edmonton,Aboriginal languages,Dogrib (Tlicho),most_at_home,0
507,Edmonton,Aboriginal languages,Dogrib (Tlicho),most_at_work,0
508,Vancouver,Aboriginal languages,Dogrib (Tlicho),most_at_home,0
509,Vancouver,Aboriginal languages,Dogrib (Tlicho),most_at_work,0
510,Montréal,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_home,5
511,Montréal,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_work,0
512,Toronto,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_home,95
513,Toronto,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_work,0
514,Calgary,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_home,20
515,Calgary,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_work,0
516,Edmonton,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_home,10
517,Edmonton,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_work,0
518,Vancouver,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_home,15
519,Vancouver,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",most_at_work,0
520,Montréal,Non-Official & Non-Aboriginal languages,Dutch,most_at_home,245
521,Montréal,Non-Official & Non-Aboriginal languages,Dutch,most_at_work,20
522,Toronto,Non-Official & Non-Aboriginal languages,Dutch,most_at_home,650
523,Toronto,Non-Official & Non-Aboriginal languages,Dutch,most_at_work,65
524,Calgary,Non-Official & Non-Aboriginal languages,Dutch,most_at_home,490
525,Calgary,Non-Official & Non-Aboriginal languages,Dutch,most_at_work,0
526,Edmonton,Non-Official & Non-Aboriginal languages,Dutch,most_at_home,275
527,Edmonton,Non-Official & Non-Aboriginal languages,Dutch,most_at_work,20
528,Vancouver,Non-Official & Non-Aboriginal languages,Dutch,most_at_home,690
529,Vancouver,Non-Official & Non-Aboriginal languages,Dutch,most_at_work,70
530,Montréal,Non-Official & Non-Aboriginal languages,Edo,most_at_home,10
531,Montréal,Non-Official & Non-Aboriginal languages,Edo,most_at_work,0
532,Toronto,Non-Official & Non-Aboriginal languages,Edo,most_at_home,290
533,Toronto,Non-Official & Non-Aboriginal languages,Edo,most_at_work,0
534,Calgary,Non-Official & Non-Aboriginal languages,Edo,most_at_home,25
535,Calgary,Non-Official & Non-Aboriginal languages,Edo,most_at_work,0
536,Edmonton,Non-Official & Non-Aboriginal languages,Edo,most_at_home,35
537,Edmonton,Non-Official & Non-Aboriginal languages,Edo,most_at_work,0
538,Vancouver,Non-Official & Non-Aboriginal languages,Edo,most_at_home,15
539,Vancouver,Non-Official & Non-Aboriginal languages,Edo,most_at_work,0
540,Montréal,Official languages,English,most_at_home,620510
541,Montréal,Official languages,English,most_at_work,412120
542,Toronto,Official languages,English,most_at_home,3836770
543,Toronto,Official languages,English,most_at_work,3218725
544,Calgary,Official languages,English,most_at_home,1065070
545,Calgary,Official languages,English,most_at_work,844740
546,Edmonton,Official languages,English,most_at_home,1050410
547,Edmonton,Official languages,English,most_at_work,792700
548,Vancouver,Official languages,English,most_at_home,1622735
549,Vancouver,Official languages,English,most_at_work,1330555
550,Montréal,Non-Official & Non-Aboriginal languages,Estonian,most_at_home,25
551,Montréal,Non-Official & Non-Aboriginal languages,Estonian,most_at_work,0
552,Toronto,Non-Official & Non-Aboriginal languages,Estonian,most_at_home,650
553,Toronto,Non-Official & Non-Aboriginal languages,Estonian,most_at_work,50
554,Calgary,Non-Official & Non-Aboriginal languages,Estonian,most_at_home,15
555,Calgary,Non-Official & Non-Aboriginal languages,Estonian,most_at_work,0
556,Edmonton,Non-Official & Non-Aboriginal languages,Estonian,most_at_home,5
557,Edmonton,Non-Official & Non-Aboriginal languages,Estonian,most_at_work,0
558,Vancouver,Non-Official & Non-Aboriginal languages,Estonian,most_at_home,75
559,Vancouver,Non-Official & Non-Aboriginal languages,Estonian,most_at_work,0
560,Montréal,Non-Official & Non-Aboriginal languages,Ewe,most_at_home,90
561,Montréal,Non-Official & Non-Aboriginal languages,Ewe,most_at_work,0
562,Toronto,Non-Official & Non-Aboriginal languages,Ewe,most_at_home,95
563,Toronto,Non-Official & Non-Aboriginal languages,Ewe,most_at_work,0
564,Calgary,Non-Official & Non-Aboriginal languages,Ewe,most_at_home,15
565,Calgary,Non-Official & Non-Aboriginal languages,Ewe,most_at_work,0
566,Edmonton,Non-Official & Non-Aboriginal languages,Ewe,most_at_home,40
567,Edmonton,Non-Official & Non-Aboriginal languages,Ewe,most_at_work,0
568,Vancouver,Non-Official & Non-Aboriginal languages,Ewe,most_at_home,15
569,Vancouver,Non-Official & Non-Aboriginal languages,Ewe,most_at_work,0
570,Montréal,Non-Official & Non-Aboriginal languages,Fijian,most_at_home,0
571,Montréal,Non-Official & Non-Aboriginal languages,Fijian,most_at_work,0
572,Toronto,Non-Official & Non-Aboriginal languages,Fijian,most_at_home,10
573,Toronto,Non-Official & Non-Aboriginal languages,Fijian,most_at_work,0
574,Calgary,Non-Official & Non-Aboriginal languages,Fijian,most_at_home,20
575,Calgary,Non-Official & Non-Aboriginal languages,Fijian,most_at_work,0
576,Edmonton,Non-Official & Non-Aboriginal languages,Fijian,most_at_home,25
577,Edmonton,Non-Official & Non-Aboriginal languages,Fijian,most_at_work,0
578,Vancouver,Non-Official & Non-Aboriginal languages,Fijian,most_at_home,100
579,Vancouver,Non-Official & Non-Aboriginal languages,Fijian,most_at_work,0
580,Montréal,Non-Official & Non-Aboriginal languages,Finnish,most_at_home,40
581,Montréal,Non-Official & Non-Aboriginal languages,Finnish,most_at_work,0
582,Toronto,Non-Official & Non-Aboriginal languages,Finnish,most_at_home,510
583,Toronto,Non-Official & Non-Aboriginal languages,Finnish,most_at_work,45
584,Calgary,Non-Official & Non-Aboriginal languages,Finnish,most_at_home,50
585,Calgary,Non-Official & Non-Aboriginal languages,Finnish,most_at_work,0
586,Edmonton,Non-Official & Non-Aboriginal languages,Finnish,most_at_home,30
587,Edmonton,Non-Official & Non-Aboriginal languages,Finnish,most_at_work,0
588,Vancouver,Non-Official & Non-Aboriginal languages,Finnish,most_at_home,430
589,Vancouver,Non-Official & Non-Aboriginal languages,Finnish,most_at_work,20
590,Montréal,Official languages,French,most_at_home,2669195
591,Montréal,Official languages,French,most_at_work,1607550
592,Toronto,Official languages,French,most_at_home,29800
593,Toronto,Official languages,French,most_at_work,11940
594,Calgary,Official languages,French,most_at_home,8630
595,Calgary,Official languages,French,most_at_work,2140
596,Edmonton,Official languages,French,most_at_home,10950
597,Edmonton,Official languages,French,most_at_work,2520
598,Vancouver,Official languages,French,most_at_home,8630
599,Vancouver,Official languages,French,most_at_work,3245
600,Montréal,Non-Official & Non-Aboriginal languages,Frisian,most_at_home,0
601,Montréal,Non-Official & Non-Aboriginal languages,Frisian,most_at_work,0
602,Toronto,Non-Official & Non-Aboriginal languages,Frisian,most_at_home,5
603,Toronto,Non-Official & Non-Aboriginal languages,Frisian,most_at_work,0
604,Calgary,Non-Official & Non-Aboriginal languages,Frisian,most_at_home,5
605,Calgary,Non-Official & Non-Aboriginal languages,Frisian,most_at_work,0
606,Edmonton,Non-Official & Non-Aboriginal languages,Frisian,most_at_home,5
607,Edmonton,Non-Official & Non-Aboriginal languages,Frisian,most_at_work,0
608,Vancouver,Non-Official & Non-Aboriginal languages,Frisian,most_at_home,5
609,Vancouver,Non-Official & Non-Aboriginal languages,Frisian,most_at_work,0
610,Montréal,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_home,445
611,Montréal,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_work,0
612,Toronto,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_home,75
613,Toronto,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_work,0
614,Calgary,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_home,45
615,Calgary,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_work,0
616,Edmonton,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_home,55
617,Edmonton,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_work,0
618,Vancouver,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_home,0
619,Vancouver,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",most_at_work,0
620,Montréal,Non-Official & Non-Aboriginal languages,Ga,most_at_home,15
621,Montréal,Non-Official & Non-Aboriginal languages,Ga,most_at_work,0
622,Toronto,Non-Official & Non-Aboriginal languages,Ga,most_at_home,145
623,Toronto,Non-Official & Non-Aboriginal languages,Ga,most_at_work,0
624,Calgary,Non-Official & Non-Aboriginal languages,Ga,most_at_home,20
625,Calgary,Non-Official & Non-Aboriginal languages,Ga,most_at_work,0
626,Edmonton,Non-Official & Non-Aboriginal languages,Ga,most_at_home,15
627,Edmonton,Non-Official & Non-Aboriginal languages,Ga,most_at_work,0
628,Vancouver,Non-Official & Non-Aboriginal languages,Ga,most_at_home,0
629,Vancouver,Non-Official & Non-Aboriginal languages,Ga,most_at_work,0
630,Montréal,Non-Official & Non-Aboriginal languages,Ganda,most_at_home,0
631,Montréal,Non-Official & Non-Aboriginal languages,Ganda,most_at_work,0
632,Toronto,Non-Official & Non-Aboriginal languages,Ganda,most_at_home,155
633,Toronto,Non-Official & Non-Aboriginal languages,Ganda,most_at_work,20
634,Calgary,Non-Official & Non-Aboriginal languages,Ganda,most_at_home,5
635,Calgary,Non-Official & Non-Aboriginal languages,Ganda,most_at_work,0
636,Edmonton,Non-Official & Non-Aboriginal languages,Ganda,most_at_home,80
637,Edmonton,Non-Official & Non-Aboriginal languages,Ganda,most_at_work,0
638,Vancouver,Non-Official & Non-Aboriginal languages,Ganda,most_at_home,5
639,Vancouver,Non-Official & Non-Aboriginal languages,Ganda,most_at_work,0
640,Montréal,Non-Official & Non-Aboriginal languages,Georgian,most_at_home,70
641,Montréal,Non-Official & Non-Aboriginal languages,Georgian,most_at_work,10
642,Toronto,Non-Official & Non-Aboriginal languages,Georgian,most_at_home,745
643,Toronto,Non-Official & Non-Aboriginal languages,Georgian,most_at_work,10
644,Calgary,Non-Official & Non-Aboriginal languages,Georgian,most_at_home,80
645,Calgary,Non-Official & Non-Aboriginal languages,Georgian,most_at_work,0
646,Edmonton,Non-Official & Non-Aboriginal languages,Georgian,most_at_home,55
647,Edmonton,Non-Official & Non-Aboriginal languages,Georgian,most_at_work,0
648,Vancouver,Non-Official & Non-Aboriginal languages,Georgian,most_at_home,15
649,Vancouver,Non-Official & Non-Aboriginal languages,Georgian,most_at_work,0
650,Montréal,Non-Official & Non-Aboriginal languages,German,most_at_home,1585
651,Montréal,Non-Official & Non-Aboriginal languages,German,most_at_work,205
652,Toronto,Non-Official & Non-Aboriginal languages,German,most_at_home,3585
653,Toronto,Non-Official & Non-Aboriginal languages,German,most_at_work,240
654,Calgary,Non-Official & Non-Aboriginal languages,German,most_at_home,1540
655,Calgary,Non-Official & Non-Aboriginal languages,German,most_at_work,75
656,Edmonton,Non-Official & Non-Aboriginal languages,German,most_at_home,2315
657,Edmonton,Non-Official & Non-Aboriginal languages,German,most_at_work,65
658,Vancouver,Non-Official & Non-Aboriginal languages,German,most_at_home,2895
659,Vancouver,Non-Official & Non-Aboriginal languages,German,most_at_work,210
660,Montréal,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_home,10
661,Montréal,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_work,0
662,Toronto,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_home,10
663,Toronto,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_work,0
664,Calgary,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_home,5
665,Calgary,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_work,0
666,Edmonton,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_home,5
667,Edmonton,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_work,0
668,Vancouver,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_home,5
669,Vancouver,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",most_at_work,0
670,Montréal,Aboriginal languages,Gitxsan (Gitksan),most_at_home,0
671,Montréal,Aboriginal languages,Gitxsan (Gitksan),most_at_work,0
672,Toronto,Aboriginal languages,Gitxsan (Gitksan),most_at_home,0
673,Toronto,Aboriginal languages,Gitxsan (Gitksan),most_at_work,0
674,Calgary,Aboriginal languages,Gitxsan (Gitksan),most_at_home,0
675,Calgary,Aboriginal languages,Gitxsan (Gitksan),most_at_work,0
676,Edmonton,Aboriginal languages,Gitxsan (Gitksan),most_at_home,0
677,Edmonton,Aboriginal languages,Gitxsan (Gitksan),most_at_work,0
678,Vancouver,Aboriginal languages,Gitxsan (Gitksan),most_at_home,10
679,Vancouver,Aboriginal languages,Gitxsan (Gitksan),most_at_work,0
680,Montréal,Non-Official & Non-Aboriginal languages,Greek,most_at_home,18255
681,Montréal,Non-Official & Non-Aboriginal languages,Greek,most_at_work,515
682,Toronto,Non-Official & Non-Aboriginal languages,Greek,most_at_home,16945
683,Toronto,Non-Official & Non-Aboriginal languages,Greek,most_at_work,340
684,Calgary,Non-Official & Non-Aboriginal languages,Greek,most_at_home,500
685,Calgary,Non-Official & Non-Aboriginal languages,Greek,most_at_work,10
686,Edmonton,Non-Official & Non-Aboriginal languages,Greek,most_at_home,375
687,Edmonton,Non-Official & Non-Aboriginal languages,Greek,most_at_work,0
688,Vancouver,Non-Official & Non-Aboriginal languages,Greek,most_at_home,1730
689,Vancouver,Non-Official & Non-Aboriginal languages,Greek,most_at_work,60
690,Montréal,Non-Official & Non-Aboriginal languages,Gujarati,most_at_home,3805
691,Montréal,Non-Official & Non-Aboriginal languages,Gujarati,most_at_work,20
692,Toronto,Non-Official & Non-Aboriginal languages,Gujarati,most_at_home,38270
693,Toronto,Non-Official & Non-Aboriginal languages,Gujarati,most_at_work,615
694,Calgary,Non-Official & Non-Aboriginal languages,Gujarati,most_at_home,3125
695,Calgary,Non-Official & Non-Aboriginal languages,Gujarati,most_at_work,20
696,Edmonton,Non-Official & Non-Aboriginal languages,Gujarati,most_at_home,3650
697,Edmonton,Non-Official & Non-Aboriginal languages,Gujarati,most_at_work,60
698,Vancouver,Non-Official & Non-Aboriginal languages,Gujarati,most_at_home,2740
699,Vancouver,Non-Official & Non-Aboriginal languages,Gujarati,most_at_work,40
700,Montréal,Aboriginal languages,Gwich'in,most_at_home,0
701,Montréal,Aboriginal languages,Gwich'in,most_at_work,0
702,Toronto,Aboriginal languages,Gwich'in,most_at_home,5
703,Toronto,Aboriginal languages,Gwich'in,most_at_work,0
704,Calgary,Aboriginal languages,Gwich'in,most_at_home,5
705,Calgary,Aboriginal languages,Gwich'in,most_at_work,0
706,Edmonton,Aboriginal languages,Gwich'in,most_at_home,0
707,Edmonton,Aboriginal languages,Gwich'in,most_at_work,0
708,Vancouver,Aboriginal languages,Gwich'in,most_at_home,0
709,Vancouver,Aboriginal languages,Gwich'in,most_at_work,0
710,Montréal,Aboriginal languages,Haida,most_at_home,0
